Duration,"Engine Speed (RPM)","Vehicle Speed (Mph)",Gear,"Manifold Pressure (mbar)","Boost (psi)","Throttle Position (%)","Injector Duration (ms)","Duty Cycle (%)","Ignition Advance","Knock Retard","Air Temperature (F)","Coolant Temperature (F)","O2 Voltage",Lambda,"Air Fuel Ratio",VTEC,CEL
"72:4354:43.189",1905,"0.0",0,0,"0.0","0","3.47","6","34.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.220",1903,"0.0",0,0,"0.0","0","2.93","5","35.25","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.251",1878,"0.0",0,0,"0.0","0","2.54","4","35.00","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.282",1836,"0.0",0,0,"0.0","1","2.37","4","34.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.313",1772,"0.0",0,0,"0.0","4","2.73","4","34.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.345",1702,"0.0",0,0,"0.0","5","3.12","4","33.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.376",1626,"0.0",0,0,"0.0","9","3.31","4","33.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.407",1550,"0.0",0,0,"0.0","12","4.36","6","32.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.438",1519,"0.0",0,0,"0.0","12","5.64","7","27.50","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.469",1469,"0.0",0,0,"0.0","12","5.95","7","26.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.501",1454,"0.0",0,0,"0.0","9","5.41","7","25.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.547",1435,"0.0",0,0,"0.0","3","4.11","5","28.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.563",1423,"0.0",0,0,"0.0","2","3.62","4","29.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.594",1382,"0.0",0,0,"0.0","2","3.60","4","30.25","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.625",1345,"0.0",0,0,"0.0","2","3.23","4","29.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.672",1261,"0.0",0,0,"0.0","6","3.62","4","29.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.703",1208,"0.0",0,0,"0.0","7","4.03","4","27.50","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.735",1149,"0.0",0,0,"0.0","10","4.14","4","23.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.766",1093,"0.0",0,0,"0.0","12","5.85","5","21.25","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:43.797",1039,"0.0",0,0,"0.0","13","6.60","6","19.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.828",998,"0.0",0,0,"0.0","12","7.05","6","18.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.859",965,"0.0",0,0,"0.0","9","7.42","6","17.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.891",950,"0.0",0,0,"0.0","6","6.98","6","17.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.922",956,"0.0",0,0,"0.0","5","6.60","5","18.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.953",969,"0.0",0,0,"0.0","5","5.40","4","19.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:43.984",980,"0.0",0,0,"0.0","5","5.20","4","19.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.015",983,"0.0",0,0,"0.0","5","5.07","4","20.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.047",980,"0.0",0,0,"0.0","5","4.91","4","20.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.078",972,"0.0",0,0,"0.0","6","4.81","4","20.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.109",965,"0.0",0,0,"0.0","5","4.77","4","19.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.140",964,"0.0",0,0,"0.0","6","4.72","4","20.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.187",969,"0.0",0,0,"0.0","6","4.68","4","20.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.218",982,"3.7",1,0,"0.0","5","4.63","4","20.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.249",1006,"3.7",1,0,"0.0","5","4.58","4","21.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.265",1038,"3.7",1,0,"0.0","5","4.52","4","21.50","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.312",1074,"3.7",1,0,"0.0","6","4.42","4","22.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.343",1102,"3.7",1,0,"0.0","5","4.35","4","23.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.374",1153,"3.7",1,0,"0.0","6","4.31","4","23.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.405",1169,"3.7",1,0,"0.0","5","4.27","4","24.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.437",1175,"5.0",1,0,"0.0","6","4.18","4","24.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.468",1182,"5.0",1,0,"0.0","5","4.13","4","24.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.499",1188,"5.0",1,0,"0.0","5","4.08","4","24.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.530",1187,"5.0",1,0,"0.0","6","4.09","4","24.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.577",1193,"5.0",1,0,"0.0","6","4.03","4","25.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.593",1214,"5.0",1,0,"0.0","6","3.97","4","25.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.624",1225,"5.0",1,0,"0.0","6","3.98","4","26.00","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.655",1243,"5.6",1,0,"0.0","6","3.94","4","27.00","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:44.702",1276,"5.6",1,0,"0.0","6","3.90","4","27.25","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.733",1288,"5.6",1,0,"0.0","6","3.84","4","27.75","0.00","118.94","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.764",1304,"5.6",1,0,"0.0","6","3.78","4","28.25","0.00","118.94","176.00","3.88","0.00","0.00",OFF,
"72:4354:44.795",1326,"5.6",1,0,"0.0","5","3.72","4","28.25","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:44.827",1328,"5.6",1,0,"0.0","6","3.67","4","29.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.858",1339,"5.6",1,0,"0.0","6","3.62","4","29.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.889",1346,"6.2",1,0,"0.0","6","3.61","4","29.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.920",1346,"6.2",1,0,"0.0","6","3.56","4","29.50","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:44.951",1358,"6.2",1,0,"0.0","6","3.55","4","30.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:44.983",1372,"6.2",1,0,"0.0","6","3.49","4","30.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.014",1382,"6.2",1,0,"0.0","6","3.49","4","30.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.045",1389,"6.2",1,0,"0.0","6","3.49","4","30.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.092",1408,"6.2",1,0,"0.0","6","3.48","4","30.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.107",1429,"6.2",1,0,"0.0","6","3.47","4","30.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.139",1441,"6.2",1,0,"0.0","6","3.46","4","30.75","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.170",1445,"6.2",1,0,"0.0","6","3.45","4","30.75","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.217",1462,"6.2",1,0,"0.0","6","3.44","4","31.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.248",1470,"6.2",1,0,"0.0","6","3.44","4","31.00","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.279",1477,"6.2",1,0,"0.0","7","3.44","4","30.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.310",1486,"6.2",1,0,"0.0","7","3.49","4","31.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.341",1495,"6.8",1,0,"0.0","7","3.49","4","31.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.373",1501,"6.8",1,0,"0.0","7","3.54","4","30.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.404",1512,"6.8",1,0,"0.0","7","3.54","4","30.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.435",1523,"6.8",1,0,"0.0","8","3.60","5","30.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.466",1543,"6.8",1,0,"0.0","8","3.72","5","30.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.497",1563,"6.8",1,0,"0.0","8","3.73","5","29.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.529",1574,"6.8",1,0,"0.0","8","3.85","5","29.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.560",1594,"6.8",1,0,"0.0","9","3.90","5","29.00","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.607",1613,"6.8",1,0,"0.0","9","3.96","5","28.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.622",1630,"6.8",1,0,"0.0","9","4.07","6","28.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.653",1641,"6.8",1,0,"0.0","9","4.12","6","28.00","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.685",1657,"6.8",1,0,"0.0","10","4.17","6","27.50","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:45.731",1674,"6.8",1,0,"0.0","10","4.24","6","27.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.763",1690,"6.8",1,0,"0.0","10","4.30","6","27.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.794",1704,"7.4",1,0,"0.0","10","4.35","6","27.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.825",1710,"7.4",1,0,"0.0","11","4.39","6","27.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.856",1729,"7.4",1,0,"0.0","11","4.50","6","26.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.887",1753,"7.4",1,0,"0.0","11","4.55","7","27.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.919",1777,"7.4",1,0,"0.0","11","4.61","7","26.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.950",1804,"7.4",1,0,"0.0","11","4.61","7","26.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:45.981",1823,"7.4",1,0,"0.0","11","4.66","7","26.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.012",1852,"8.7",1,0,"0.0","11","4.65","7","27.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.043",1867,"8.7",1,0,"0.0","11","4.60","7","27.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.075",1890,"8.7",1,0,"0.0","11","4.59","7","27.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.106",1903,"8.7",1,0,"0.0","11","4.59","7","27.50","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:46.137",1923,"8.7",1,0,"0.0","11","4.58","7","27.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.168",1936,"8.7",1,0,"0.0","11","4.52","7","27.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.199",1959,"8.7",1,0,"0.0","11","4.52","7","27.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.246",1986,"8.7",1,0,"0.0","11","4.51","7","27.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.277",2007,"8.7",1,0,"0.0","11","4.51","8","28.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.309",2022,"8.7",1,0,"0.0","11","4.45","7","28.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.324",2042,"8.7",1,0,"0.0","12","4.44","8","28.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.371",2055,"8.7",1,0,"0.0","12","4.42","8","28.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.402",2076,"8.7",1,0,"0.0","12","4.35","8","28.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.433",2094,"8.7",1,0,"0.0","11","4.32","8","28.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.465",2116,"9.3",1,0,"0.0","12","4.31","8","29.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.496",2135,"9.3",1,0,"0.0","12","4.24","8","29.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.527",2150,"9.3",1,0,"0.0","11","4.23","8","29.25","0.00","117.86","176.00","3.88","0.00","0.00",OFF,
"72:4354:46.558",2177,"9.3",1,0,"0.0","12","4.15","8","29.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.589",2187,"9.3",1,0,"0.0","12","4.09","7","29.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.621",2203,"9.3",1,0,"0.0","12","4.07","7","29.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.652",2221,"9.3",1,0,"0.0","11","4.01","7","29.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.683",2229,"9.9",1,0,"0.0","10","4.01","7","30.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.714",2245,"9.9",1,0,"0.0","8","3.85","7","33.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.761",2259,"9.9",1,0,"0.0","0","3.03","6","36.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.792",2259,"9.9",1,0,"0.0","0","2.34","4","36.50","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:46.823",2229,"9.9",1,0,"0.0","0","2.21","4","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:46.839",2211,"9.9",1,0,"0.0","0","2.05","4","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:46.886",2198,"9.9",1,0,"0.0","0","1.87","3","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:46.917",2190,"9.9",1,0,"0.0","0","1.89","3","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:46.948",2185,"9.9",1,0,"0.0","0","1.76","3","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:46.979",2167,"9.9",1,0,"0.0","0","1.71","3","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.011",2133,"9.9",1,0,"0.0","0","0.00","0","36.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.042",2111,"9.9",1,0,"0.0","0","0.00","0","36.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.073",2076,"9.9",1,0,"0.0","0","0.00","0","36.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.104",2035,"9.9",1,0,"0.0","0","0.00","0","36.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.135",1973,"10.5",1,0,"0.0","0","0.00","0","35.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.167",1930,"10.5",1,0,"0.0","0","0.00","0","35.25","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.198",1880,"10.5",1,0,"0.0","0","0.00","0","35.00","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.229",1852,"10.5",1,0,"0.0","0","0.00","0","34.75","0.00","117.86","176.00","3.90","0.00","0.00",OFF,
"72:4354:47.276",1785,"10.5",1,0,"0.0","0","0.00","0","34.25","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.307",1737,"10.5",2,0,"0.0","0","0.00","0","34.00","0.00","117.86","174.20","3.88","0.00","0.00",OFF,
"72:4354:47.338",1707,"10.5",2,0,"0.0","0","0.00","0","33.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.354",1657,"10.5",2,0,"0.0","0","0.00","0","33.00","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.401",1602,"10.5",2,0,"0.0","0","0.00","0","32.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.432",1579,"10.5",2,0,"0.0","0","0.00","0","32.00","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.463",1524,"10.5",2,0,"0.0","0","0.00","0","31.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.494",1492,"10.5",2,0,"0.0","0","0.00","0","31.25","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.525",1434,"10.5",2,0,"0.0","0","0.00","0","30.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.557",1373,"10.5",2,0,"0.0","0","0.00","0","30.25","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.588",1345,"10.5",2,0,"0.0","0","0.00","0","29.50","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.619",1311,"10.5",2,0,"0.0","0","0.00","0","29.25","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.650",1247,"10.5",2,0,"0.0","1","0.00","0","27.75","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.681",1216,"10.5",2,0,"0.0","1","1.70","2","27.00","0.00","117.86","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.713",1191,"10.5",3,0,"0.0","2","1.82","2","27.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.744",1189,"10.5",3,0,"0.0","2","2.19","2","27.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.791",1200,"10.5",3,0,"0.0","3","2.93","3","28.00","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:47.822",1224,"10.5",2,0,"0.0","4","3.14","3","28.75","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:47.837",1284,"10.5",2,0,"0.0","4","3.25","3","29.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.869",1327,"10.5",2,0,"0.0","4","3.31","4","30.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.915",1378,"10.5",2,0,"0.0","5","3.23","4","30.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.947",1388,"10.5",2,0,"0.0","5","2.88","3","30.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:47.978",1404,"10.5",2,0,"0.0","5","2.91","3","30.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.009",1363,"10.5",2,0,"0.0","5","2.88","3","29.75","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:48.040",1323,"10.5",2,0,"0.0","5","2.87","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.071",1266,"10.5",2,0,"0.0","5","2.93","3","29.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.103",1249,"10.5",2,0,"0.0","4","3.04","3","28.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.134",1233,"10.5",2,0,"0.0","5","3.08","3","28.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.165",1250,"10.5",2,0,"0.0","5","3.08","3","29.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.196",1273,"10.5",2,0,"0.0","5","3.14","3","29.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.227",1288,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.259",1316,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.305",1322,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.321",1301,"10.5",2,0,"0.0","5","3.08","3","29.50","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:48.352",1286,"10.5",2,0,"0.0","5","3.14","3","29.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.383",1280,"10.5",2,0,"0.0","5","3.14","3","29.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.430",1276,"10.5",2,0,"0.0","5","3.14","3","29.25","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.461",1284,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.493",1299,"10.5",2,0,"0.0","5","3.13","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.524",1316,"10.5",2,0,"0.0","5","3.13","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.555",1322,"10.5",2,0,"0.0","5","3.14","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.586",1311,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.617",1306,"10.5",2,0,"0.0","5","3.13","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.649",1299,"10.5",2,0,"0.0","5","3.13","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.680",1296,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.711",1304,"10.5",2,0,"0.0","5","3.14","3","29.50","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:48.742",1324,"10.5",2,0,"0.0","5","3.14","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.773",1325,"10.5",2,0,"0.0","4","3.08","3","29.75","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:48.820",1331,"10.5",2,0,"0.0","5","3.07","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.836",1334,"10.5",2,0,"0.0","5","3.08","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.867",1326,"10.5",2,0,"0.0","4","3.08","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.898",1316,"10.5",2,0,"0.0","5","3.08","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.945",1320,"10.5",2,0,"0.0","5","3.08","3","29.50","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:48.976",1323,"10.5",2,0,"0.0","5","3.08","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.007",1327,"10.5",2,0,"0.0","5","3.08","3","29.75","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:49.039",1336,"10.5",2,0,"0.0","5","3.07","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.070",1343,"10.5",2,0,"0.0","5","3.07","3","30.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.101",1349,"10.5",2,0,"0.0","4","3.08","3","30.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.132",1344,"10.5",2,0,"0.0","5","3.08","3","30.00","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.163",1344,"10.5",2,0,"0.0","5","3.08","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.195",1344,"10.5",2,0,"0.0","5","3.07","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.226",1339,"10.5",2,0,"0.0","5","3.02","3","29.75","0.00","117.14","174.20","3.88","0.00","0.00",OFF,
"72:4354:49.257",1343,"10.5",2,0,"0.0","5","3.02","3","29.75","0.00","117.14","174.20","3.90","0.00","0.00",OFF,
"72:4354:49.288",1350,"10.5",2,0,"0.0","4","3.01","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.319",1351,"10.5",2,0,"0.0","5","3.01","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.351",1351,"10.5",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.382",1357,"10.5",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.88","0.00","0.00",OFF,
"72:4354:49.413",1356,"10.5",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.460",1357,"10.5",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.491",1362,"10.5",2,0,"0.0","5","3.01","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.522",1365,"10.5",2,0,"0.0","5","3.01","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.553",1370,"10.5",2,0,"0.0","5","3.01","3","30.25","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.585",1365,"10.5",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.616",1365,"11.2",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.647",1370,"11.2",2,0,"0.0","5","3.03","3","30.00","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
"72:4354:49.678",1365,"11.2",2,0,"0.0","5","3.03","3","30.25","0.00","117.14","173.12","3.90","0.00","0.00",OFF,
